4
15 75 1 1 0 0 8 8 0 3 3 0 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
14 69 0 1 0 1 9 9 0 4 4 1 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
9 46 0 1 0 1 9 9 0 4 4 1 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
10 35 0 1 0 1 9 9 0 4 4 1 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
14 69 0 0 1 1 9 9 0 4 4 1 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
9 46 0 0 1 1 9 9 0 4 4 1 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
10 35 0 0 1 1 9 9 0 4 4 1 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
12 55 1 1 0 0 8 8 0 3 3 0 1 0 1 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
7 33 1 1 0 0 8 8 0 3 3 0 1 0 1 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
12 55 1 1 0 0 8 8 0 3 3 0 1 1 1 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
7 33 1 1 0 0 8 8 0 3 3 0 1 1 1 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
15 75 1 1 0 0 8 8 0 3 3 0 1 1 0 1 0 1 0 12 55 1 1 0 12 55 2 1 0 12 55
15 75 1 1 0 0 8 8 0 3 3 0 1 1 0 1 0 1 0 7 33 1 1 0 7 33 2 1 0 7 33
15 75 1 1 0 0 8 8 0 3 3 0 1 1 0 1 0 1 0 12 55 1 1 0 7 33 2 1 0 12 55
15 75 1 1 0 0 8 8 0 3 3 0 1 1 0 1 0 1 0 7 33 1 1 0 12 55 2 1 0 7 33
15 75 1 1 0 0 8 8 0 3 3 0 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
15 75 1 1 0 0 8 8 0 3 3 0 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
15 75 1 1 0 0 8 8 0 3 3 0 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
15 75 1 1 0 0 8 8 0 3 3 0 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
15 75 1 1 0 0 8 8 0 3 3 0 0 0 0 0 0 1 0 15 75 1 1 0 15 75 2 1 0 15 75
